id,totalMinedBlocks,totalRewards
qzp46dLKdevu6Cn9jzvBSPivSZqTECwFohfx9xr2u86Rhbf9A,1445,14250186048941502
qzp7UiUh343dPDjsqQ4ki6gYyRtJw2gL7mLYkkmqsXsDkwZSv,1354,12970725373021012
qzpHJECPLDqWc1NHL6ySN7Ts8q7kJXiJGXGRYTHX7egTVkxX6,1347,12551258735536490
qzkMW1vkVWCKPaGoNoG1xi4zk9y8mE1rftV5wr4ajoegf6w92,1342,13130229976413970
qzjVVTwX6xi8Z7x5qRAidYkxisfjiLuZZUo5VvzUsSYzCH5Pj,1330,12680846837210378
qznDuX3cD7T4fj2rFfZCXRpGna29B1ytuHfbWSkLzBGr9tujG,1309,12580756370507099
qzpAMvnKaMBrUQMpdkX4JsQFS1peJkSnASvY1yw7CY1uyZod4,1295,12680240719693657
qzqBsCm7DVSVW7NUqtk2yJT2SoC2jmroFQ9keHTvRrpQHLRaZ,1285,12510460080908668
qzmJbB2PtT6Yn2csnweiHgP5AuYWqHpjSWqYuw5hjvu6V6Ewu,1283,12360620332405246
qzq43L99r93FuamJkKTqqg1pWu1xmRB41GSW3ZEhGo6aCMLxP,1265,12330374699906136
qznuEeDCfp9wWScQtho9Lp5UVnRoNC1WCCJugtBxBrvJbDSUQ,1259,12130504041410449
qzp2vMweB9mkQKypjQ2MCYgEzSSSnkxFb6ZLmpGBAqpwfraCd,1224,11590876727920967
qzocZMwjQXbpJPybqwM3RByokpAqXcAzzxe7xzAUwniuG3KkR,1212,11790333377050282
qzjuFfppNevtjh1DNNFUSuLqVQZodrjdh5qiG3tkVKvmCcMZz,1211,11690526722056423
qzkz9HDb8wNfUMQ6izsrTLuqPssY6vMG37SosmhHtKuvevD47,1207,11520757374772077
qzjXFVBj7WmamW8Bi7to2uqfrGh7nmebafYVrZat4Bn2Ufohe,1184,11320867406816051
qzkhabqtpLwnzRdwzYaoiVxg1AYDDPz2ZXkvAJqoN6n5yPd8g,1181,11300535935813541
qzpHnzRvAyPdFqBi8Raay2EjvS532gmBJDseDB7SHA5eS7sb1,1181,11385614257171691
qzpG1aBJwUsxB5LszistDabf8odyDRA6zDWSjYwnDiLY7eEMN,1175,11400450037908599
qzov49ugwidabvCnTwfyB9cWV57UH7gCiTrkt74Y9S2ha9bYA,1172,11240558735452031
qznJML73SHRr9oH24Ehzv8Xxkg7S8P2yxH5neSYbovNw9Sf6y,1168,11340375652898443
qzq8kWW618bHYQigjf4F6qmzHPvANpQCvnM4CAuVj76xcfAPu,1161,11260418703407977
qzpFKP7ufpBZmep9Ai24RfFvuBv4katPEQNyehSw2fMFVUNSZ,1142,10836549691687108
qznz772YbXNeDBqG9du3rUrW96atu4aM3iMUqhZTCrhSNzxyc,1131,10780802057168879
qznhYxqMiqioJosXE6d1Su9eczAuemC8kdDuo6UeMQEbPr9U4,1118,10810385313406799
qzjjzBaeGGo2NTvRpZjeCarzCJs8SwRbehPamKZaj43fgCr4b,1113,10660512028014924
qzooVku3dWWzSVCgu4Deifvk5WYWSDnZm7cuK6HKG4VZ9iMqE,1080,10430474240341224
