resonance_network,schrodinger,dirac,planck,totalMinedBlocks,totalRewards
,,qzpPXV9GBTPNZt5ykFT2ccSdXVgtU2DeUWtFnFnmzKeQBZVpd,,4671,44941874786508739
,,qzq9iYKZ32ymzRXQAdWq6dj1wzYgLi4pcbahkUQE8hURzqmJf,,4621,43776051609685196
,,qzjtKf8PuSQKssmaJBrKzF8NqXxNgiWoABuwn2xazbx5Qx5Wh,,4601,43734181586906892
,,qzoXFFL5N6jPuH8A4wm8tFT3WKecSXdHUPtvSkQcbMSVGKiQF,,4587,44522864874914055
,,qzq8TijbtG5eV9Z6RDfQf8Mr2pzFWV5PT6YDuaehHD4TX5vfo,,4516,43553054271751656
,,qzoSU3H1AfoCXaP2Jwqghz2PsBssxbmQkD8vNvs4w1ng9PtDx,,4464,42962246174396492
,,qzmFxRvMgBN2DhcwTyoYdt4DWm6ygqkym89pVY8c4J1Hh9TZz,,4437,43241452999405977
,,qzjckpfCNf78VKLTdBAi4qmLXVdq7wR4i8cFgJikAYHvLHDe7,,4429,42246809732487036
,,qzmRgTnJ6XNFCKheSrnzKiaW34ubPENCX7MqSreQKgTsZkEBQ,,4427,42771815440449404
,,qzp2iCiP2eiMrT3evvYRSBUNX1hh7rbwUokchqDg69kzjgPBy,,4399,42811133568302695
,,,qznWNcF4qvGzMrFQNCxpUpG5wQqbyhi479QTVrsjjywSSKacC,4391,2033638591043509
,,qzq7P4bPaptUpY3F6YC1RvWFS7Ee7MfGmzoi2yaSYWqWahZUR,,4303,41412372639408065
qzjxCJfheVUxLEZto56T6v4cKT5i4PTqHWYssDE6Sfyy6xwcS,,,,4275,42050764752161292
,,,qzjYMpbcejXW1d26G8MGVo9hAVWhc29EgwK8rQhZvQQUfvKcE,4249,1583101372132984
,,qzkqpVQfNPJdtLy11Lipq7S4FweRWfhCMrfVUohDgaKifUQAZ,,4234,41071541456981202
,,qzo92RobTAxfxz6fFNQZ3qqRCkkHt28oJiHMgz2bHyMHBE78S,,4220,40074646282425689
,,qzmZzKgzPHZFpJ4pT3NW68rN4rD6xj9GdaTMHVkDywwdgdb1M,,4197,40201969994025342
,,qzoTppcZM2nZg2qBNhXCe2KbiGiCFXpXFyMkzu8qy9qDRuNhx,,4193,39495273648443330
,,,qzoA7nYHPcDgoh5CoS6yokCjBbS4Krxgock8WACw3di9fhfMR,4141,1672339487774016
qznJ6gdt21ezvLxdYw3iAUjqHEW1FAWMT3U8PtDtnhgPG21nB,,,,4124,41080023609919877
,,qzodyHDA4JPnTVCYp9CPczHLTyvV2cg5wwSDzgNnedkehaAaG,,4122,38963682983914714
